                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.22637,                 2.0965,                0.97364,                0.80053,                0.76903,                0.76583,                0.75352,                0.23016,                0.96451,                0.42205,              0.0033315,              0.0033315,              0.0033315
                      2,                0.18371,                 1.1679,                0.91276,                0.85906,                 0.8026,                0.87281,                0.86412,                0.16601,                0.68723,                0.37317,              0.0066385,              0.0066385,              0.0066385
                      3,                0.21854,                0.99591,                0.92152,                0.79795,                0.76416,                0.83288,                0.82048,                0.26883,                0.75396,                0.47831,               0.009919,               0.009919,               0.009919
                      4,                0.22789,                0.90977,                0.92545,                0.87253,                0.83992,                0.87989,                0.86656,                 0.1942,                0.45713,                0.39297,              0.0098812,              0.0098812,              0.0098812
                      5,                0.19403,                0.75754,                0.91153,                0.82103,                0.89213,                 0.8725,                0.85685,                 0.2015,                0.44364,                0.42298,              0.0098812,              0.0098812,              0.0098812
                      6,                0.17748,                0.66545,                0.90255,                0.86475,                  0.879,                0.90056,                0.89495,                0.21114,                 0.4607,                0.42098,              0.0098416,              0.0098416,              0.0098416
                      7,                0.16276,                0.61688,                0.89884,                0.92385,                0.86886,                 0.9218,                0.91326,                0.17211,                0.32573,                0.37336,               0.009802,               0.009802,               0.009802
                      8,                0.15031,                0.57711,                0.89453,                0.89715,                0.86612,                 0.9122,                0.89945,                0.17426,                0.33804,                0.36749,              0.0097624,              0.0097624,              0.0097624
                      9,                0.14381,                0.54314,                0.89486,                0.93468,                0.86225,                0.92517,                0.91926,                0.19012,                0.34614,                 0.3983,              0.0097228,              0.0097228,              0.0097228
                     10,                0.13752,                0.51277,                0.89179,                0.90999,                0.92957,                0.93282,                0.93026,                 0.1695,                0.32054,                0.37342,              0.0096832,              0.0096832,              0.0096832
                     11,                0.12997,                0.50016,                0.88861,                0.92544,                0.89052,                0.92323,                0.92064,                0.13284,                0.23893,                0.33077,              0.0096436,              0.0096436,              0.0096436
                     12,                0.12435,                0.47779,                0.88639,                0.89796,                0.89684,                0.93124,                0.91928,                0.18721,                0.31807,                0.38096,               0.009604,               0.009604,               0.009604
                     13,                0.11811,                0.45627,                0.88523,                0.90967,                0.90893,                0.94523,                 0.9401,                0.15608,                0.25829,                0.35263,              0.0095644,              0.0095644,              0.0095644
                     14,                0.11544,                 0.4431,                0.88482,                0.94622,                0.85421,                0.92691,                0.92027,                0.14238,                0.26458,                0.34563,              0.0095248,              0.0095248,              0.0095248
                     15,                0.11292,                0.44051,                0.88299,                0.90092,                 0.9192,                0.92886,                0.92304,                0.14769,                0.28466,                0.34473,              0.0094852,              0.0094852,              0.0094852
                     16,                0.10929,                0.43033,                0.88225,                0.85527,                0.89186,                0.92185,                0.90758,                0.15305,                 0.3056,                0.35026,              0.0094456,              0.0094456,              0.0094456
                     17,                0.10776,                 0.4209,                0.88094,                0.88523,                0.96673,                0.96264,                0.96085,                0.15473,                0.25484,                0.35569,               0.009406,               0.009406,               0.009406
                     18,                0.10454,                0.40323,                0.87967,                0.92208,                0.89849,                0.93477,                0.93423,                0.14192,                0.25784,                 0.3534,              0.0093664,              0.0093664,              0.0093664
                     19,                0.10225,                0.39665,                0.88246,                0.89953,                0.91602,                0.93298,                0.93062,                0.15699,                0.28669,                0.35211,              0.0093268,              0.0093268,              0.0093268
                     20,                0.09966,                0.39651,                  0.882,                0.89026,                0.91519,                0.92782,                0.92782,                 0.1444,                0.23182,                0.33504,              0.0092872,              0.0092872,              0.0092872
                     21,                0.09905,                0.38681,                0.88085,                0.92873,                0.91956,                0.94954,                0.94838,                0.12323,                0.20712,                0.31782,              0.0092476,              0.0092476,              0.0092476
                     22,                0.09629,                0.37764,                0.88101,                0.91859,                0.91622,                0.94573,                0.94489,                0.13381,                0.26868,                0.33841,               0.009208,               0.009208,               0.009208
                     23,                0.09333,                0.36771,                0.87832,                0.90216,                0.94935,                0.95184,                0.94383,                0.10977,                0.19427,                0.30018,              0.0091684,              0.0091684,              0.0091684
                     24,                0.09154,                0.36772,                0.87906,                0.89794,                0.94555,                0.92993,                0.92714,                0.13255,                 0.2366,                0.32301,              0.0091288,              0.0091288,              0.0091288
                     25,                0.08999,                0.36156,                0.87586,                0.90678,                0.97127,                0.95627,                0.95623,                0.10837,                0.18782,                0.31018,              0.0090892,              0.0090892,              0.0090892
                     26,                0.09093,                0.35774,                0.87695,                0.88601,                0.93098,                0.93579,                0.93451,                 0.1169,                0.25073,                0.31766,              0.0090496,              0.0090496,              0.0090496
                     27,                0.09029,                0.35689,                0.87886,                0.90918,                0.90083,                0.94309,                0.94151,                0.10919,                0.24306,                0.30468,                0.00901,                0.00901,                0.00901
